type,name,label,label::Arabic,hint,hint::Arabic,appearance,required,calculation,constraint,constraint_message,constraint_message::Arabic,relevant,default,repeat_count,choice_filter,
note,NQ1_4_How_many_household_members_including_yourself_do_you_have_in_the_following_age_groups,1.4 How many household members (including yourself) do you have in the following age groups?,1.4 ?? ??? ????? ?????? (??? ???? ???) ?? ?????? ??????? ????????,(Numbers),(????????),,,,,,,,,,,
integer,Q1_4_Males_0_To_3_years,Males 0-3:,???? 0-3:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Females_0_To_3_years,Females 0-3:,???? 0-3:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Males_4_To_5_years,Males 4-5:,???? 4-5:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Females_4_To_5_years,Females 4-5:,???? 4-5:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Males_6_To_10_years,Males 6-10:,???? 6-10:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Females_6_To_10_years,Females 6-10:,???? 6-10:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Males_11_To_17_years,Males 11-17:,???? 11-17:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Females_11_To_17_years,Females 11-17:,???? 11-17:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Males_18_To_59_years,Males 18-59:,???? 18-59:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Females_18_To_59_years,Females 18-59:,???? 18-59:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Males_60_plus,Males 60+:,???? 60+:,,,numbers,yes,,,,,,,,,
integer,Q1_4_Females_60_plus,Females 60+:,???? 60+:,,,numbers,yes,,,,,,,,,
end group,Q1_4,,,,,,,,,,,,,,,
calculate,calcendend,,,,,,,${Q1_4_Males_18_To_59_years} + ${Q1_4_Females_18_To_59_years} + ${Q1_4_Males_60_plus} + ${Q1_4_Females_60_plus},,,,,,,,
begin group,endend,,,,,,,,,,,${calcendend}>0,,,,
calculate,calc1_4,calc1.4,,,,,,${Q1_4_Males_0_To_3_years} + ${Q1_4_Females_0_To_3_years} + ${Q1_4_Males_4_To_5_years} + ${Q1_4_Females_4_To_5_years} + ${Q1_4_Males_6_To_10_years} + ${Q1_4_Females_6_To_10_years} + ${Q1_4_Males_11_To_17_years} + ${Q1_4_Females_11_To_17_years} + ${Q1_4_Males_18_To_59_years} + ${Q1_4_Females_18_To_59_years} + ${Q1_4_Males_60_plus} + ${Q1_4_Females_60_plus},,,,,,,,
note,Check1_4,"The total members in question 1.4 is not correct, should be equal 1.3","????? ??????? ?? ?????? 1.4 ??? ???? ? ??? ?? ???? ??????? ?? 1.3",,,,yes,,,,,(${calc1_4}>${Q1_3_How_many_individuals_live_in_this_household_including_yourself}) or (${calc1_4}<${Q1_3_How_many_individuals_live_in_this_household_including_yourself}),,,,
begin group,Q1_5,,,,,field-list,,,,,,,,,,
note,NQ1_5_Of_the_individuals_living_in_the_household_how_many_fit_into_the_following_categories,"1.5 Of the individuals living in the household, how many fit into the following categories?","1.5 ?? ??? ??????? ????? ?????? ?? ??????? ?? ??? ??????? ????? ??????? ??? ?????? ????????",(Numbers),(????????),,,,,,,,,,,
integer,Q1_5_1_Pre_conflict_host_population_lived_in_the_community_neighborhood_since_before_the_crisis,1.5.1 Pre-conflict / host-population (lived in the community/neighborhood since before the crisis):,1.5.1 ??? ??????/ ?????? ???????? (?????? ?? ???????/ ???? ??? ?? ??? ??????):,,,numbers,yes,,,,,,,,,
integer,Q1_5_2_Returnees_left_the_community_due_to_crisis_but_have_returned_since_January_2018,1.5.2 Returnees (left the community due to crisis but have returned since January 2018):,1.5.2 ???????? (?????? ??????? ???? ?????? ????? ????? ??? ????? ?????? 2018):,,,numbers,yes,,,,,,,,,
integer,Q1_5_3_IDPs_relocated_to_the_community_neighborhood_from_elsewhere_in_Syria_due_to_the_crisis_e_g_due_to_conflict,1.5.3 IDPs (relocated to the community/neighborhood from elsewhere in Syria due to the crisis e.g. due to conflict):,"1.5.3 ???????? (??????? ??? ???????/ ???? ?? ????? ???? ?? ????? ???? ??????? ??? ???? ?????? ???? ??????):",,,numbers,yes,,,,,,,,,
end group,Q1_5,,,,,,,,,,,,,,,
calculate,calc1_5,calc1.5,,,,,,${Q1_5_1_Pre_conflict_host_population_lived_in_the_community_neighborhood_since_before_the_crisis} + ${Q1_5_2_Returnees_left_the_community_due_to_crisis_but_have_returned_since_January_2018} + ${Q1_5_3_IDPs_relocated_to_the_community_neighborhood_from_elsewhere_in_Syria_due_to_the_crisis_e_g_due_to_conflict},,,,,,,,
note,Check1_5,The total members in question 1.5 should be less than or equal 1.3,????? ??????? ?? ?????? 1.4 ??? ?? ???? ??? ?? ?? ????? 1.3,,,,yes,,,,,(${calc1_5}>${Q1_3_How_many_individuals_live_in_this_household_including_yourself}) or (${calc1_5}<${Q1_3_How_many_individuals_live_in_this_household_including_yourself}),,,,
,,,,,,,,,,,,,,,,
select_one yes_no,Q1_5_3_1_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria,"1.5.3.1.0 If IDPs are living in the household, do you know where are they from in Syria?","1.5.3.1.0 ??? ??? ???????? ?????? ?? ??????? ?? ???? ?? ??? ?? ?? ??????",,,,yes,,,,,${Q1_5_3_IDPs_relocated_to_the_community_neighborhood_from_elsewhere_in_Syria_due_to_the_crisis_e_g_due_to_conflict}>0,,,,
select_one Governorate,Q1_5_3_1_1_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_governorate,"1.5.3.1.1 Of the IDPs living in your household, where are the majority of them from in Syria? Select governorate:","1.5.3.1.1 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ????????",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_1_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria},'Yes')",,,,
select_one_external District,Q1_5_3_1_2_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_district,"1.5.3.1.2 Of the IDPs living in your household, where are the majority of them from in Syria? Select district:","1.5.3.1.2 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ???????:",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_1_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria},'Yes')",,,Governorate=${Q1_5_3_1_1_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_governorate},
select_one_external Sub_district,Q1_5_3_1_3_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_sub_district,"1.5.3.1.3 Of the IDPs living in your household, where are the majority of them from in Syria? Select sub-district:","1.5.3.1.3 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ??????? ???????:",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_1_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria},'Yes')",,,District=${Q1_5_3_1_2_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_district},
select_one_external Village,Q1_5_3_1_4_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_community_neighborhood,"1.5.3.1.4 Of the IDPs living in your household, where are the majority of them from in Syria? Select community/neighborhood:","1.5.3.1.4 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ???????/ ????:",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_1_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria},'Yes')",,,Sub_district=${Q1_5_3_1_3_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_sub_district},
text,Q1_5_3_1_4_Other_Village,1.5.3.1.4 Other village:,1.5.3.1.4 ???? ????:,(please specify),(?????? ???????),,yes,,,,,"selected(${Q1_5_3_1_4_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_community_neighborhood},'other')",,,,
integer,Q1_5_3_1_5_How_many_IDPs_living_in_your_household_are_from_this_location,1.5.3.1.5 How many IDPs living in your household are from this location?,1.5.3.1.5 ?? ??? ??????? ???????? ????? ?????? ?? ????? ?? ?? ??? ???????,(Numbers),(????????),numbers,yes,,,,,"selected(${Q1_5_3_1_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria},'Yes')",,,,
,,,,,,,,,,,,,,,,
select_one yes_no,Q1_5_3_2_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_second,"1.5.3.2.0 If IDPs are living in the household, do you know other places where are they from in Syria?","1.5.3.2.0 ??? ??? ???????? ?????? ?? ??????? ?? ???? ????? ???? ?? ???? ?? ??????",,,,yes,,,,,"selected(${Q1_5_3_1_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria},'Yes')",,,,
select_one Governorate,Q1_5_3_2_1_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_governorate,"1.5.3.2.1 If IDPs are living in the household,where are the majority of them from in Syria? Select governorate:","1.5.3.2.1 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ????????",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_2_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_second},'Yes')",,,,
select_one_external District,Q1_5_3_2_2_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_district,"1.5.3.2.2 If IDPs are living in the household, where are the majority of them from in Syria? Select district :","1.5.3.2.2 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ???????:",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_2_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_second},'Yes')",,,Governorate=${Q1_5_3_2_1_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_governorate},
select_one_external Sub_district,Q1_5_3_2_3_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_sub_district,"1.5.3.2.3 If IDPs are living in the household, where are the majority of them from in Syria? Select sub-district","1.5.3.2.3 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ??????? ???????:",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_2_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_second},'Yes')",,,District=${Q1_5_3_2_2_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_district},
select_one_external Village,Q1_5_3_2_4_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_community_neighborhood,"1.5.3.2.4 If IDPs are living in the household, where are the majority of them from in Syria? Select community/neighborhood:","1.5.3.2.4 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ???????/ ????:",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_2_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_second},'Yes')",,,Sub_district=${Q1_5_3_2_3_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_sub_district},
text,Q1_5_3_2_4_Other_Village,1.5.3.2.4 Other village:,1.5.3.2.4 ???? ????:,(please specify),(?????? ???????),,yes,,,,,"selected(${Q1_5_3_2_4_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_community_neighborhood},'other')",,,,
integer,Q1_5_3_2_5_How_many_IDPs_living_in_your_household_are_from_this_location,1.5.3.2.5 How many IDPs living in your household are from this location?,1.5.3.2.5 ?? ??? ??????? ???????? ????? ?????? ?? ????? ?? ?? ??? ???????,(Numbers),(????????),numbers,yes,,,,,"selected(${Q1_5_3_2_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_second},'Yes')",,,,
,,,,,,,,,,,,,,,,
select_one yes_no,Q1_5_3_3_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_third,"1.5.3.2.0 If IDPs are living in the household, do you know other places where are they from in Syria?","1.5.3.2.0 ??? ??? ???????? ?????? ?? ??????? ?? ???? ????? ???? ?? ???? ?? ??????",,,,yes,,,,,"selected(${Q1_5_3_2_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_second},'Yes')",,,,
select_one Governorate,Q1_5_3_3_1_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_governorate,"1.5.3.3.1 If IDPs are living in the household, where are the majority of them from in Syria? Select governorate:","1.5.3.3.1 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ????????",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_3_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_third},'Yes')",,,,
select_one_external District,Q1_5_3_3_2_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_district,"1.5.3.3.2 If IDPs are living in the household, where are the majority of them from in Syria? Select district :","1.5.3.3.2 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ???????:",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_3_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_third},'Yes')",,,Governorate=${Q1_5_3_3_1_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_governorate},
select_one_external Sub_district,Q1_5_3_3_3_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_sub_district,"1.5.3.3.3 If IDPs are living in the household, where are the majority of them from in Syria? Select sub-district","1.5.3.3.3 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ??????? ???????:",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_3_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_third},'Yes')",,,District=${Q1_5_3_3_2_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_district},
select_one_external Village,Q1_5_3_3_4_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_community_neighborhood,"1.5.3.3.4 If IDPs are living in the household, where are the majority of them from in Syria? Select community/neighborhood:","1.5.3.3.4 ??? ??? ???????? ?????? ?? ??????? ?? ??? ?? ???????? ?? ?????? ???? ???????/ ????:",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_5_3_3_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_third},'Yes')",,,Sub_district=${Q1_5_3_3_3_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_sub_district},
text,Q1_5_3_3_4_Other_Village,1.5.3.3.4 Other village:,1.5.3.3.4 ???? ????:,(please specify),(?????? ???????),,yes,,,,,"selected(${Q1_5_3_3_4_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_Select_community_neighborhood},'other')",,,,
integer,Q1_5_3_3_5_How_many_IDPs_living_in_your_household_are_from_this_location,1.5.3.3.5 How many IDPs living in your household are from this location?,1.5.3.3.5 ?? ??? ??????? ???????? ????? ?????? ?? ????? ?? ?? ??? ???????,(Numbers),(????????),numbers,yes,,,,,"selected(${Q1_5_3_3_0_If_IDPs_are_living_in_the_household_where_are_they_from_in_Syria_third},'Yes')",,,,
select_multiple q0106R,Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties,"1.6 In your household, are there any members that experience any of the following physical or cognitive difficulties?","1.6 ?? ?????? ?? ???? ?? ????? ??????? ???? ?? ???????? ??????? ?? ???????? ????????",(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'No_HH_members_experienced_difficulties') and count-selected(.)>1)","You can not select  ""No HH members experienced difficulties "" with another option","?????? ?????? ""?? ??? ?? ????? ?????? ????? ??? ??????"" ?? ???? ???? ",,,,,
begin group,GQ1_6_1,,,,,field-list,,,,,,"not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
note,NQ1_6_1_Of_those_household_members_who_experience_difficulties_how_many_fall_into_the_following_categories_in_terms_of_how_much_assistance_they_need,"1.6.1 Of those household members who experience difficulties, how many fall into the following categories in terms of how much assistance they need?","1.6.1 ??????? ?????? ?????? ????? ?????? ?? ??????? ?? ??? ????? ?? ?????? ??????? ?? ??? ????? ???????? ???? ??????? ??????",(Numbers),(????????),,,,,,,,,,,
integer,Q1_6_1_1_Minor_difficulties_carrying_out_daily_activities_but_mostly_independent_requiring_either_no_assistance_or_only_some_assistance_for_example_between_0_to_2_hours_per_day,"Minor difficulties carrying out daily activities but mostly independent, requiring either no assistance or only some assistance (for example, between 0-2 hours per day):","?????? ????? ?? ?????? ?????? ????? ?????? ?????? ?? ??????? ????? ?? ????? ?????? ?? ??? ??? ???????? (??? ???? ??????? ??? 0-2 ????? ?? ?????):",,,numbers,yes,,,,,,,,,
integer,Q1_6_1_2_A_lot_of_difficulty_carrying_out_daily_activities_and_needs_quite_a_bit_of_assistance_and_attention_for_example_3_to_6_hours_per_day,"A lot of difficulty carrying out daily activities and needs quite a bit of assistance and attention (for example, 3-6 hours per day):","????? ????? ?? ?????? ???????? ??????? ?????? ??? ??? ????? ?? ?? ???????? ????????? (??? ???? ??????? 3-6 ????? ?? ?????)",,,numbers,yes,,,,,,,,,
integer,Q1_6_1_3_Can_not_carry_out_daily_activities_independently_and_needs_permanent_assistance_and_attention,Can not carry out daily activities independently and needs permanent assistance and attention:,?? ???? ?????? ???????? ??????? ???? ????? ?????? ??? ?????? ????? ???????,,,numbers,yes,,,,,,,,,
end group,GQ1_6_1,,,,,,,,,,,,,,,
calculate,calc1_6_1,calc1.6.1,,,,,,${Q1_6_1_1_Minor_difficulties_carrying_out_daily_activities_but_mostly_independent_requiring_either_no_assistance_or_only_some_assistance_for_example_between_0_to_2_hours_per_day} + ${Q1_6_1_2_A_lot_of_difficulty_carrying_out_daily_activities_and_needs_quite_a_bit_of_assistance_and_attention_for_example_3_to_6_hours_per_day} + ${Q1_6_1_3_Can_not_carry_out_daily_activities_independently_and_needs_permanent_assistance_and_attention},,,,"not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
note,Check1_6_1,The total members in question 1.6.1 should be less than or equal 1.3,????? ??????? ?? ?????? 1.4 ??? ?? ???? ??? ?? ?? ????? 1.3,,,,yes,,,,,(${calc1_6_1}>${Q1_3_How_many_individuals_live_in_this_household_including_yourself}),,,,
begin group,GQ1_6_2,,,,,field-list,,,,,,${Q1_6_1_2_A_lot_of_difficulty_carrying_out_daily_activities_and_needs_quite_a_bit_of_assistance_and_attention_for_example_3_to_6_hours_per_day}>0,,,,
note,NQ1_6_2_Of_those_household_members_who_require_between_3_to_6_hours_of_attention_each_day_how_many_fall_into_the_following_categories,"1.6.2 Of those household members who require between 3 -6 hours of attention each day, how many fall into the following categories:","1.6.2 ??????? ?????? ?????? ????? ??????? ?? ??? 3 ??? 6 ????? ?? ???????? ??????? ?? ???? ????? ??? ?????? ???????:",(Numbers),(????????),,,,,,,,,,,
integer,Q1_6_2_Males_0_To_3_years,Males 0-3:,???? 0-3:,,,numbers,yes,,.<=${Q1_4_Males_0_To_3_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_0_To_3_years}>0,0,,,
integer,Q1_6_2_Females_0_To_3_years,Females 0-3:,???? 0-3:,,,numbers,yes,,.<=${Q1_4_Females_0_To_3_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_0_To_3_years}>0,0,,,
integer,Q1_6_2_Males_4_To_5_years,Males 4-5:,???? 4-5:,,,numbers,yes,,.<=${Q1_4_Males_4_To_5_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_4_To_5_years}>0,0,,,
integer,Q1_6_2_Females_4_To_5_years,Females 4-5:,???? 4-5:,,,numbers,yes,,.<=${Q1_4_Females_4_To_5_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_4_To_5_years}>0,0,,,
integer,Q1_6_2_Males_6_To_10_years,Males 6-10:,???? 6-10:,,,numbers,yes,,.<=${Q1_4_Males_6_To_10_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_6_To_10_years}>0,0,,,
integer,Q1_6_2_Females_6_To_10_years,Females 6-10:,???? 6-10:,,,numbers,yes,,.<=${Q1_4_Females_6_To_10_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_6_To_10_years}>0,0,,,
integer,Q1_6_2_Males_11_To_17_years,Males 11-17:,???? 11-17:,,,numbers,yes,,.<=${Q1_4_Males_11_To_17_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_11_To_17_years}>0,0,,,
integer,Q1_6_2_Females_11_To_17_years,Females 11-17:,???? 11-17:,,,numbers,yes,,.<=${Q1_4_Females_11_To_17_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_11_To_17_years}>0,0,,,
integer,Q1_6_2_Males_18_To_59_years,Males 18-59:,???? 18-59:,,,numbers,yes,,.<=${Q1_4_Males_18_To_59_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_18_To_59_years}>0,0,,,
integer,Q1_6_2_Females_18_To_59_years,Females 18-59:,???? 18-59:,,,numbers,yes,,.<=${Q1_4_Females_18_To_59_years},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_18_To_59_years}>0,0,,,
