S.N.,"Governorate
????????","Sub District
???????",Community/Nearest Community,"PCODE
Admin4","Cluster 
?????? / ???????? ","Site Name
??? ??????",PCODE.Sites,Surveys,Type.of.Settlement,Households,Population,Primary.Method.for.Data.Collection,Organisation.Name
1305,Idleb/????,Harim/????,Atareb,C1022,Atareb,Tajmae Aleiza/???? ?????,CP000498,2,collective_centre,83,495,Mobile Data Collection,SECD
1251,Idleb/????,Dana/????,Babka,C1021,,Termanin shelter Center,,5,,75,450,Mobile Data Collection,SECD
916,Idleb/????,Dana/????,Jazraya,C1168,,Dana Collective Center,,5,,64,385,Mobile Data Collection,SECD
1373,Idleb/????,Maaret Tamsrin/???? ??????,Batbu,C1025,,Maqaleaa,,5,,64,381,Mobile Data Collection,SECD
261,Aleppo/???,Ghandorah/??????,Tqad,C1143,,Alkanah tents,,10,,60,360,Mobile Data Collection,SECD
1381,Idleb/????,Maaret Tamsrin/???? ??????,Jeineh,C1032,,Almedan,,1,collective_centre,53,316,Mobile Data Collection,SECD
282,Aleppo/???,Ghandorah/??????,Jazraya,C1168,,Shahid Camp,,1,,52,310,Mobile Data Collection,SECD
1378,Idleb/????,Maaret Tamsrin/???? ??????,Tqad,C1143,,Singar,,10,,50,300,Mobile Data Collection,SECD
1389,Idleb/????,Maaret Tamsrin/???? ??????,Hoteh,C1146,,Maaret Elekhwan Camp/???? ????? ???????,,1,collective_centre,46,276,Mobile Data Collection,SECD
580,Idleb/????,Kafr Nobol/??? ???,Jazraya,C1168,,Harsh Kofranbil Camp,,2,,36,215,Mobile Data Collection,SECD
527,Aleppo/???,Zarbah/??????,Jazraya,C1168,,Osmania camp,,3,,35,209,Mobile Data Collection,SECD
1420,Idleb/????,Badama/?????,Tarfawi (Tall Ed-daman),C1078,,Al Fateha/ ???????,,23,,30,179,Mobile Data Collection,SECD
275,Aleppo/???,Ghandorah/??????,Atareb,C1022,,Qadi Camp (Jarablus),,5,,22,132,Mobile Data Collection,SECD
669,Idleb/????,Ma'arrat An Nu'man/???? ???? ???????,Khan Al-Asal,C6428,,Al  Qasr,,6,collective_centre,21,126,Mobile Data Collection,SECD
1289,Idleb/????,Harim/????,Mansura (Tall Ed-daman),C1080,,Al Madina,,7,,20,120,Mobile Data Collection,SECD
512,Aleppo/???,Daret Azza/???? ???,Jazraya,C1168,,Zarzita/Dahret alkharj,,13,collective_centre,13,77,Mobile Data Collection,SECD
1434,Idleb/????,Badama/?????,Masih,C1110,,Salma2,,4,,11,64,Mobile Data Collection,SECD
511,Aleppo/???,Daret Azza/???? ???,Jazraya,C1168,,Zarzita camps,,3,,10,60,Mobile Data Collection,SECD
514,Aleppo/???,Jebel Saman/??? ?????,Tarfawi (Tall Ed-daman),C1078,,KahrabaHousingcluster,,4,,6,35,Mobile Data Collection,SECD
482,Aleppo/???,Daret Azza/???? ???,Idleb,C3871,,Um Jubina,,69,,3131,18787,Mobile data collection tool,Silk Road Organization
262,Aleppo/???,Ghandorah/??????,Azaz,C1564,,Al-Tayba Camp,,52,,8880,53282,KoBo,Solidarites International
853,Idleb/????,Dana/????,Shamarin,C1566,Azaz,Shams Al Hurriya/ ??? ??????,CP000278,10,formal_camp,1976,11853,KoBo,Solidarites International
384,Aleppo/???,Atareb/?????,Salama,C1561,,Al Abiad / ??????,,1,,485,2910,KoBo,Solidarites International
333,Aleppo/???,Atareb/?????,Azaz,C1564,,Alfurn Camp,,3,,424,2545,KoBo,Solidarites International
1403,Idleb/????,Saraqab/?????,Dabeq,C1597,,Alihsan Camp,,33,,53,318,KoBo,Solidarites International
953,Idleb/????,Dana/????,Shekh Bahr,C6631,,Albarakah,,13,,1167,7000,Mobile Data Collection,Syria Relief 
1427,Idleb/????,Badama/?????,Kelly,C3949,,Lattakia,,15,,1126,6757,Mobile Data Collection,Syria Relief 
457,Aleppo/???,Daret Azza/???? ???,Salqin,C4140,Salqin,DeirSaman,,19,,596,3162,Mobile Data Collection,Syria Relief 
670,Idleb/????,Ma'arrat An Nu'man/???? ???? ???????,Kelly,C3949,,Al-Wafaa,,15,,583,3500,Mobile Data Collection,Syria Relief 
675,Idleb/????,Ariha/???? ?????,Salqin,C4140,Big Hir Jamus,Maab collective center - Ariha,CP000280,11,informal_settlement,540,3237.3,Mobile Data Collection,Syria Relief 
1302,Idleb/????,Harim/????,Dier Ballut,C1435,Dier Ballut,Kafr Aruq/???????,,37,,520,2431,Paper Forms ,Syria Relief 
1286,Idleb/????,Harim/????,Delbiya,C4146,Big Hir Jamus,Al Azraq/ ??????,CP000281,11,informal_settlement,414,2533,Mobile Data Collection,Syria Relief 
474,Aleppo/???,Daret Azza/???? ???,Deir Ballut,C1435,,Itihad Al-arabi,,33,,362,2063,Paper Forms ,Syria Relief 
1288,Idleb/????,Harim/????,Salqin,C4140,,Al Madenh Monarh (Harim)/ ??????? ??????? (????),,14,,341,2048,Mobile Data Collection,Syria Relief 
744,Idleb/????,Dana/????,Kelly,C3949,,Al Forkan/ ???????,,4,,259,1554,Mobile Data Collection,Syria Relief 
1296,Idleb/????,Harim/????,Salqin,C4140,,Alzeraah/ ??????? ,,9,,170,1020,Mobile Data Collection,Syria Relief 
325,Aleppo/???,Atareb/?????,Kelly,C3949,,Industrial Secondary ,,7,,167,1000,Mobile Data Collection,Syria Relief 
579,Idleb/????,Kafr Nobol/??? ???,Salqin,C4140,,Eastern Marzita Camp/???? ??????? ??????,,6,,161,964,Mobile Data Collection,Syria Relief 
1350,Idleb/????,Salqin/?????,Kelly,C3949,,Darbella/???????,,2,,142,850,Mobile Data Collection,Syria Relief 
298,Aleppo/???,Jarablus/??????,Kelly,C3949,,Site 1.5km east of Helwania village,,2,,120,720,Mobile Data Collection,Syria Relief 
329,Aleppo/???,Atareb/?????,Salqin,C4140,Salqin,Alforkan,CP000508,2,informal_settlement,80,480,Mobile Data Collection,Syria Relief 
1393,Idleb/????,Maaret Tamsrin/???? ??????,Salqin,C4140,,Irshien Camps,,1,,45,270,Mobile Data Collection,Syria Relief 
588,Idleb/????,Kafr Nobol/??? ???,Afrin (Afrin),C1366,,water and electric center,,18,informal_settlement,35,200,Paper Forms ,Syria Relief 
1283,Idleb/????,Harim/????,Afrin (Afrin),C1366,,Abnaa Al Mansora,,12,informal_settlement,25,150,Paper Forms ,Syria Relief 
62,Aleppo/???,Al Bab/?????,Ma'btali,C1552,,Shikh Alwan,,11,informal_settlement,11,55,Paper Forms ,Syria Relief 
674,Idleb/????,Ariha/???? ?????,Afrin (Afrin),C1366,,Garage collective center - Ariha,,9,informal_settlement,10,60,Paper Forms ,Syria Relief 
1304,Idleb/????,Harim/????,Ma'btali,C1552,,Suq Almazut,,10,collective_centre,10,40,Paper Forms ,Syria Relief 
1371,Idleb/????,Idleb/????,Bulbul,C1391,,Sijer - Bqesemtoh Camps,,7,,6,32,Paper Forms ,Syria Relief 
1372,Idleb/????,Maaret Tamsrin/???? ??????,Ameriyeh (Ar-Ra'ee),C1260,Al Bab,Batenta,CP000449,8,transit_camp_reception_centre,7,43,Data Collection Tool,Violet
766,Idleb/????,Dana/????,Ma'arrat An Nu'man,C3985,,Al Majed Sector 3/ ????? 3,,32,,1937,11622,KoBo,WHH
765,Idleb/????,Dana/????,Dana (Ma'arrat An Nu'man),C3965,,Al Majed Sector 2/ ????? 2,,21,,1393,8360,KoBo,WHH
696,Idleb/????,Mhambal/?????,Kafr Nobol,C4068,,Mhambal,,21,collective_centre,1096,6574,KoBo,WHH
578,Idleb/????,Kafr Nobol/??? ???,Saraqab,C3916,,Deir sunbul,,71,collective_centre,1025,6150,KoBo,WHH
520,Aleppo/???,Zarbah/??????,Kafr Nobol,C4068,,Al Khasheer camp     ,,19,collective_centre,975,5848,KoBo,WHH
360,Aleppo/???,Atareb/?????,Kafr Nobol,C4068,,Suq Alhal Camp,,12,collective_centre,760,4562,KoBo,WHH
1396,Idleb/????,Maaret Tamsrin/???? ??????,Ma'arrat An Nu'man,C3985,,OwJA,,69,collective_centre,658,3950,KoBo,WHH
572,Idleb/????,Kafr Nobol/??? ???,Harim,C4115,,alaqraa hospital(old),,41,collective_centre,615,3689,KoBo,WHH
1377,Idleb/????,Maaret Tamsrin/???? ??????,Kafr Nobol,C4068,,Kaftin Camps,,12,collective_centre,535,3211,KoBo,WHH
672,Idleb/????,Ma'arrat An Nu'man/???? ???? ???????,Harim,C4115,,Um Al momenin,,15,,417,2500,KoBo,WHH
500,Aleppo/???,Daret Azza/???? ???,Harim,C4115,,Bsartun Road,,18,,342,2050,KoBo,WHH
1285,Idleb/????,Harim/????,Idleb,C3871,,Al Aman (Harim) /  (????) ??????,,63,collective_centre,342,2050,KoBo,WHH
299,Aleppo/???,Jarablus/??????,Ariha,C4278,,Al Karba Camp,,45,collective_centre,338,2025,KoBo,WHH
968,Idleb/????,Dana/????,Dana (Ma'arrat An Nu'man),C3965,,Deir Hassan shelter Center,,1,,325,1947,KoBo,WHH
943,Idleb/????,Dana/????,Kafr Nobol,C4068,,Al Mashhad,,19,,292,1754,KoBo,WHH
146,Aleppo/???,Azaz/?????,Maarrat An Numan,C3985,Maarrat An Numan,Dabiq,,6,,273,1067,KoBo,WHH
374,Aleppo/???,Atareb/?????,Harim,C4115,,Jeineh Collective Center,,18,collective_centre,243,1458,KoBo,WHH
